idx,text,main_heading,heading,topic,paper_idx,BIO,BIO_1,BIO_2,offset1,pro1,offset2,pro2,offset3,pro3,mask,bi_labels,labels
1,title,,,machine-translation,0,,,,0,0.0,0,0.0,0,0.0,1,0,
2,Learning Phrase Representations using RNN Encoder - Decoder for Statistical Machine Translation,title,title,machine-translation,0,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-n', 'I-n', 'I-n']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ob', 'I-ob', 'I-ob']",1,0.0,1,0.0045662100456621,1,0.0,1,1,research-problem
3,abstract,,,machine-translation,0,,,,0,0.0,2,0.0091324200913242,0,0.0,1,0,
4,"In this paper , we propose a novel neural network model called RNN Encoder - Decoder that consists of two recurrent neural networks ( RNN ) .",abstract,abstract,machine-translation,0,,,,1,0.2,3,0.0136986301369863,1,0.2,1,0,
5,"One RNN encodes a sequence of symbols into a fixedlength vector representation , and the other decodes the representation into another sequence of symbols .",abstract,abstract,machine-translation,0,,,,2,0.4,4,0.0182648401826484,2,0.4,1,0,
6,The encoder and decoder of the proposed model are jointly trained to maximize the conditional probability of a target sequence given a source sequence .,abstract,abstract,machine-translation,0,,,,3,0.6,5,0.0228310502283105,3,0.6,1,0,
7,The performance of a statistical machine translation system is empirically found to improve by using the conditional probabilities of phrase pairs computed by the RNN Encoder - Decoder as an additional feature in the existing log - linear model .,abstract,abstract,machine-translation,0,,,,4,0.8,6,0.0273972602739726,4,0.8,1,0,
8,"Qualitatively , we show that the proposed model learns a semantically and syntactically meaningful representation of linguistic phrases .",abstract,abstract,machine-translation,0,,,,5,1.0,7,0.0319634703196347,5,1.0,1,0,
9,Introduction,,,machine-translation,0,,,,0,0.0,8,0.0365296803652968,0,0.0,1,0,
10,"Deep neural networks have shown great success in various applications such as objection recognition ( see , e.g. , ) and speech recognition ( see , e.g. , ) .",Introduction,Introduction,machine-translation,0,,,,1,0.009259259259259259,9,0.0410958904109589,1,0.02631578947368421,1,0,
11,"Furthermore , many recent works showed that neural networks can be successfully used in a number of tasks in natural language processing ( NLP ) .",Introduction,Introduction,machine-translation,0,,,,2,0.018518518518518517,10,0.045662100456621,2,0.05263157894736842,1,0,
12,"These include , but are not limited to , language modeling , paraphrase detection and word embedding extraction .",Introduction,Introduction,machine-translation,0,,,,3,0.027777777777777776,11,0.0502283105022831,3,0.07894736842105263,1,0,
13,"In the field of statistical machine translation ( SMT ) , deep neural networks have begun to show promising results .",Introduction,Introduction,machine-translation,0,,,,4,0.037037037037037035,12,0.0547945205479452,4,0.10526315789473684,1,0,
14,summarizes a successful usage of feedforward neural networks in the framework of phrase - based SMT system .,Introduction,Introduction,machine-translation,0,,,,5,0.046296296296296294,13,0.0593607305936073,5,0.13157894736842105,1,0,
15,"Along this line of research on using neural networks for SMT , this paper focuses on a novel neural network architecture that can be used as apart of the conventional phrase - based SMT system .",Introduction,Introduction,machine-translation,0,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-n', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ob', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ob', 'I-ob', 'I-ob', 'I-ob', 'O', 'O']",6,0.05555555555555555,14,0.0639269406392694,6,0.15789473684210525,1,1,research-problem
16,"The proposed neural network architecture , which we will refer to as an RNN Encoder - Decoder , consists of two recurrent neural networks ( RNN ) that act as an encoder and a decoder pair .",Introduction,Introduction,machine-translation,0,"['O', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'B', 'I', 'I', 'I', 'O', 'B', 'B', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'B', 'I', 'O', 'B', 'O', 'O', 'B', 'O', 'O']",,,7,0.06481481481481481,15,0.0684931506849315,7,0.18421052631578946,1,1,model
17,"The encoder maps a variable - length source sequence to a fixed - length vector , and the decoder maps the vector representation back to a variable - length target sequence .",Introduction,Introduction,machine-translation,0,"['O', 'O', 'B', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O']","['O', 'O', 'B-p', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O', 'O', 'O', 'O', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O']","['O', 'O', 'B-p', 'B-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'O', 'O', 'O', 'O', 'O', 'B-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'O']",8,0.07407407407407407,16,0.0730593607305936,8,0.21052631578947367,1,1,model
